RunID, LON, LAT, Mukey, MUSYM, COMPNAME, MUNAME, TEXTURE, SLOPE_R, NIRRCAPCL, NIRRCAPSCL, NIRRCAPUNIT, RSPROD_L, RSPROD_R, RSPROD_H, COKEY, Year, Yield_T_HA, Biomass_T_HA, ET_mm, MX_HU, HarvMoDay, WUE
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 2039, 0.01, 0.02, 213.91, 109, , 0.02040816
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 2040, 0.03, 0.05, 210.49, 220, , 0.04918033
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 2041, 0.01, 0.02, 210.49, 202, , 0.01639344
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 2042, 0.03, 0.05, 210.49, 220, , 0.04918033
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 2043, 0.01, 0.03, 210.49, 87, , 0.01639344
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 2044, 0.03, 0.05, 204.4, 220, , 0.06976745
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 2045, 0.02, 0.02, 204.4, 220, , 0.04651163
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 2046, 0.03, 0.05, 204.4, 220, , 0.06976745
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 2047, 0.01, 0.02, 204.4, 126, , 0.02325581
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 2048, 0.03, 0.05, 199.94, 220, , 0.08333334
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 2049, 0.02, 0.03, 199.94, 177, , 0.05555556
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 2050, 0.03, 0.05, 199.94, 220, , 0.08333334
11, -119.4909, 42.7172, 489163, 29C, Brace, Brace-Raz complex 2 to 15 percent slopes, L, 9, 6, e, 0, 300, 500, 700, 23762383, 2051, 0.01, 0.02, 199.94, 104, , 0.02777778
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2008, 0.11, 0.16, 92.25, 220, , 0.01018518
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2009, 0.03, 0.04, 92.25, 220, , 0.002777778
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2010, 0.14, 0.19, 92.25, 220, , 0.01296296
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2011, 0.02, 0.04, 92.25, 132, , 0.001851852
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2012, 0.08, 0.12, 127.44, 220, , 0.007582938
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2013, 0.03, 0.05, 127.44, 220, , 0.002843602
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2014, 0.11, 0.16, 127.44, 220, , 0.01042654
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2015, 0.01, 0.03, 127.44, 92, , 0.0009478673
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2016, 0.1, 0.13, 169.22, 220, , 0.0106383
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2017, 0.03, 0.04, 169.22, 220, , 0.003191489
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2018, 0.1, 0.14, 169.22, 220, , 0.0106383
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2019, 0.01, 0.03, 169.22, 121, , 0.00106383
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2020, 0.1, 0.13, 141.19, 220, , 0.01124859
